id,question,gold_answer,predicted_answer,exact_match,f1,precision,recall,inference_time_sec
56be4db0acb8001400a502ec,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.4575774669647217
56be4db0acb8001400a502ec,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.023906469345092773
56be4db0acb8001400a502ec,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.0228426456451416
56be4db0acb8001400a502ed,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers,1,1.0,1.0,1.0,0.022642135620117188
56be4db0acb8001400a502ed,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers,1,1.0,1.0,1.0,0.022577285766601562
56be4db0acb8001400a502ed,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers,1,1.0,1.0,1.0,0.02260589599609375
56be4db0acb8001400a502ee,Where did Super Bowl 50 take place?,"Santa Clara, California","Santa Clara, California",1,1.0,1.0,1.0,0.022574186325073242
56be4db0acb8001400a502ee,Where did Super Bowl 50 take place?,Levi's Stadium,"Santa Clara, California",0,0.0,0.0,0.0,0.019749879837036133
56be4db0acb8001400a502ee,Where did Super Bowl 50 take place?,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0,0.42857142857142855,1.0,0.2727272727272727,0.01623678207397461
56be4db0acb8001400a502ef,Which NFL team won Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.01625967025756836
56be4db0acb8001400a502ef,Which NFL team won Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.016513586044311523
56be4db0acb8001400a502ef,Which NFL team won Super Bowl 50?,Denver Broncos,Denver Broncos,1,1.0,1.0,1.0,0.016324281692504883
56be4db0acb8001400a502f0,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold,1,1.0,1.0,1.0,0.016388893127441406
56be4db0acb8001400a502f0,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold,1,1.0,1.0,1.0,0.016365528106689453
56be4db0acb8001400a502f0,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold,1,1.0,1.0,1.0,0.016330718994140625
56be8e613aeaaa14008c90d1,What was the theme of Super Bowl 50?,"""golden anniversary""",American football game to determine the champion of the National Football League (NFL),0,0.0,0.0,0.0,0.016267061233520508
56be8e613aeaaa14008c90d1,What was the theme of Super Bowl 50?,gold-themed,American football game to determine the champion of the National Football League (NFL),0,0.0,0.0,0.0,0.016248464584350586
56be8e613aeaaa14008c90d1,What was the theme of Super Bowl 50?,"""golden anniversary",American football game to determine the champion of the National Football League (NFL),0,0.0,0.0,0.0,0.016663074493408203
56be8e613aeaaa14008c90d2,What day was the game played on?,"February 7, 2016","February 7, 2016",1,1.0,1.0,1.0,0.01616215705871582
56be8e613aeaaa14008c90d2,What day was the game played on?,February 7,"February 7, 2016",0,0.8,0.6666666666666666,1.0,0.015518903732299805
56be8e613aeaaa14008c90d2,What day was the game played on?,"February 7, 2016","February 7, 2016",1,1.0,1.0,1.0,0.013191461563110352
56be8e613aeaaa14008c90d3,What is the AFC short for?,American Football Conference,American Football Conference,1,1.0,1.0,1.0,0.015444755554199219
56be8e613aeaaa14008c90d3,What is the AFC short for?,American Football Conference,American Football Conference,1,1.0,1.0,1.0,0.012758731842041016
